
running 1 test
dncm -> 532
rlld -> 3
zrgb -> 3
rzjh -> 17
rwqs -> 51
fbdg -> 153
qdtj -> 685
pmhh -> 951
hlnv -> 2089
nqrj -> 3
sttf -> 2
vddj -> 6
jnpf -> 9
cjgn -> 15
vhpv -> 1
rptz -> 2
brrz -> 5
scdn -> 5
gvsm -> 25
whng -> 4
pvhh -> 21
vbwv -> 42
tdng -> 2
wmzm -> 4
pzsc -> 8
glzf -> 13
fbcn -> 104
jqrb -> 146
dvwr -> 147
ggtf -> 5
rpzr -> 5
mmlz -> 25
bqvf -> 122
zcdh -> 1830
dwtb -> 3919
bvtd -> 5
cbbb -> 19595
bjbq -> 5
zchc -> 3919
rppn -> 2
zvqs -> 7
swlt -> 9
djwj -> 2
vwqb -> 7
gbtl -> 12
vvps -> 84
sfrz -> 3
vfmf -> 28
vqjd -> 3947
mgpd -> 5
wsqv -> 19735
qfdn -> 436308662215
dtpj -> 2
cvzl -> 4
wnjq -> 3
rvbr -> 7
fcls -> 4
dvrt -> 11
cvrf -> 5
ghtc -> 12
zjjg -> 60
btdv -> 71
hgmg -> 12
qszj -> 83
nlgb -> 2
sljt -> 166
sdlr -> 10
vpnw -> 1660
vgrf -> 2
pfgq -> 5
jglj -> 7
dzqd -> 11
dggf -> 77
hnpv -> 2
thpm -> 154
chng -> 2
clhh -> 4
cffl -> 8
pgnv -> 162
psbm -> 3
wqgv -> 2
hwzd -> 14
pscq -> 2
jnrv -> 28
dqlv -> 15
cldl -> 43
strq -> 86
flhb -> 3
vbcd -> 4
wwnp -> 7
zdhq -> 11
ttpl -> 33
bwzt -> 2
ndfn -> 31
tfrr -> 8
ntlb -> 23
wrcz -> 109
qpzs -> 327
fjmn -> 489
jbdg -> 1171
mdww -> 2342
tmrh -> 2
mrbc -> 3
hrjr -> 2
pjfb -> 2
jhmn -> 20
plwg -> 3
cbjw -> 23
shlc -> 46
dqjv -> 2
zpwf -> 23
wnvp -> 46
lsvq -> 138
rhwl -> 11
plrm -> 2
vgtd -> 13
hmzs -> 151
fqps -> 3
gclq -> 453
zllh -> 906
rldn -> 2
lpgg -> 2
vhqz -> 2
wwqp -> 10
pppg -> 6
hzwt -> 16
sqgn -> 32
nqvp -> 64
qstf -> 3
jsmt -> 3
wfwh -> 6
mmmb -> 1
sfzs -> 7
trtj -> 21
fdpl -> 2
npnm -> 23
bnmm -> 69
fqzg -> 133
sfqg -> 6
mlzl -> 5
ggzn -> 30
qthr -> 103
fnml -> 206
ldmq -> 2
jrpp -> 103
shwm -> 3
wzsr -> 2
bggf -> 6
pprn -> 109
qvdn -> 797
cdlw -> 3
zzdp -> 2391
cwfz -> 4733
fcdg -> 5
nszj -> 5
dvbj -> 25
cfqc -> 3
ctjt -> 28
hhcg -> 4
fpvv -> 3
scmr -> 13
hjst -> 39
rcrc -> 156
sgfn -> 4
tmhw -> 4
nrfd -> 16
mmsp -> 2
whqq -> 8
whlb -> 16
qhbj -> 256
npmn -> 412
gzpd -> 19
tvrh -> 4
flnp -> 76
jrpg -> 11
hzjz -> 10
pcqj -> 110
rpvt -> 2
fnmp -> 55
dcdl -> 131
jwpq -> 281
gppc -> 7868
mdhb -> 12601
dhqf -> 12
wjcv -> 151212
zdgj -> 5
bzbj -> 20
pmcf -> 4
mrfw -> 3
hlzg -> 12
hrsh -> 240
bshd -> 2
jdds -> 5
hcpl -> 7
jwfd -> 35
gbjj -> 37
vtqw -> 2
dnnm -> 74
qnsr -> 2
jrrw -> 37
jwsv -> 277
qnbd -> 2
hrnj -> 554
trrr -> 5
mjlr -> 12
ngbn -> 2
jfbs -> 24
zbtw -> 3
vtwv -> 3
mfrg -> 9
vnvm -> 33
ngcg -> 2
fmqf -> 5
pzpn -> 10
gpdh -> 43
zlzm -> 215
sbdw -> 769
ctvn -> 3845
gwhn -> 11
zwvp -> 42295
wgrz -> 193507
sczt -> 2
vrjv -> 387014
bjwm -> 2
hrmp -> 2
rljs -> 5
sblc -> 10
zlpp -> 2
sqvc -> 8
hmqf -> 16
dgnr -> 3
zrwp -> 19
mdsv -> 8
pzzm -> 3
qsmt -> 11
vwnj -> 5
wtwq -> 55
mdds -> 1045
cprt -> 7
zjjh -> 3
twqp -> 21
fblr -> 5
vnwg -> 105
wgtz -> 7
qtvt -> 3
tttn -> 5
gcbn -> 3
ltmn -> 15
tmmd -> 45
rptv -> 52
rphc -> 157
zndq -> 11
ctwv -> 2
fplv -> 5
bfml -> 7
hbbg -> 8
jwdc -> 56
pwqs -> 67
glcj -> 3
tbqn -> 3
wbwb -> 9
rfwp -> 603
rvbs -> 3
bcqw -> 10
sjjs -> 13
jcvf -> 5
ptgt -> 3
bzzr -> 15
zshl -> 12
mpfd -> 1
wfng -> 13
czjr -> 4
rwsb -> 7
jmcs -> 11
zrqm -> 19
hbvg -> 30
hhlb -> 43
phwt -> 58
rqhq -> 71
lfrp -> 2
vzzq -> 142
brhc -> 461
bvgn -> 618
zrzs -> 1663
qhlw -> 16630
htbw -> 3
dlcm -> 7
zdfh -> 2
lwrd -> 3
hzhb -> 13
psjl -> 39
lffh -> 3
nzrt -> 13
pqfg -> 26
gtpq -> 5
dmff -> 31
pffh -> 4
jtjt -> 2
gltt -> 8
qhqh -> 23
tczj -> 5
zqsh -> 3
glnf -> 2
pjlp -> 6
hznv -> 30
wllc -> 53
ssmh -> 2
zflc -> 13
rsvz -> 26
fbtt -> 79
mjzz -> 553
jfcd -> 1659
mtrw -> 13
mmtd -> 3
zswh -> 39
ngmh -> 5
fmcc -> 10
zzpt -> 50
fsjz -> 4
djtb -> 54
nwtn -> 2
dpdw -> 1
gwvb -> 1
mvsn -> 7
vgqg -> 8
shzb -> 2
pltc -> 16
cplw -> 17
mptv -> 19
cfbd -> 2
sscl -> 38
fdcm -> 92
dlhr -> 2
ctbq -> 46
cggh -> 1794
vftm -> 8
vngd -> 2
mqmp -> 8
zqsv -> 3
tgmm -> 11
znnq -> 22
hmmg -> 5
qcpd -> 17
dlrj -> 3
srfg -> 2
vmmg -> 6
mfbs -> 23
pltl -> 31
hpvn -> 15
wfjv -> 19
rfhc -> 3
zfjl -> 57
gbzj -> 3
lqgq -> 7
hbgz -> 21
stdl -> 78
tsqp -> 3
qlmf -> 26
zwzl -> 41
wgvb -> 3
hhcq -> 123
ttgj -> 154
mwbn -> 1640
fccn -> 3299
vlrp -> 5
mzdb -> 6
dtsj -> 11
fmrz -> 3
jjpp -> 33
gbpf -> 2
jqbg -> 19
tcbv -> 38
cjbs -> 71
nfbt -> 3
pphv -> 1
ccgc -> 4
flht -> 12
pwrc -> 16
srvt -> 17
hglp -> 11
jgth -> 5
nsbc -> 2
mzcn -> 10
hczp -> 110
zqgc -> 127
vgbq -> 381
ggmm -> 5
qdft -> 2
jvrs -> 10
mmcc -> 14
scth -> 140
mqgn -> 521
wtsl -> 2
ttbd -> 1042
njqn -> 2
fwfm -> 2084
mjhf -> 147964
jhjv -> 2
gvqg -> 73982
vhgv -> 77281
dhzh -> 93911
jhtv -> 187822
ndww -> 2
vbff -> 93911
mtrg -> 11
rzhp -> 2
ctbn -> 13
jcjd -> 1220843
gsbq -> 1607857
fwjj -> 6
rczs -> 4
stps -> 24
hbhf -> 2
gjcl -> 11
smvb -> 13
smjq -> 2
hqzq -> 4
clpm -> 8
msrv -> 16
vvmq -> 128
lzds -> 11
lrrc -> 14
qchg -> 5
dzrf -> 3
rhgt -> 15
hrvm -> 29
bgwg -> 10
rppt -> 4
njmv -> 40
wglm -> 69
mqmv -> 3
cgld -> 66
gsft -> 6
gswj -> 11
mlwr -> 121
ppcv -> 3
jbpp -> 363
bwbd -> 5
pwpv -> 5
mnsl -> 25
hllf -> 16
rlnm -> 41
nrcs -> 404
qpwg -> 9
fnqg -> 2
mlpm -> 6
gdsh -> 5
qgcp -> 11
dmrv -> 13
rvzf -> 3
tsrq -> 16
fmqz -> 2
qprb -> 32
cvws -> 41
czsp -> 363
ftgt -> 491
hcfb -> 6383
wqrc -> 6
fcbp -> 4
jzcm -> 2
lpcl -> 3
zsjn -> 6
vvpf -> 11
jqhp -> 14
rzpn -> 25
dhjh -> 31
cmwt -> 124
lfhj -> 5
mbht -> 10
zlth -> 3
fhct -> 7
bfsb -> 35
hpvh -> 2
ztwq -> 70
hfjr -> 194
nbmf -> 1164
fcdw -> 7547
zwlf -> 3
wszc -> 2
cpcz -> 6
cwfh -> 2
fqnw -> 8
flcn -> 2
wtdq -> 2
pzrz -> 9
zpbq -> 12
scrj -> 2
rfgp -> 24
pvtz -> 216
grzd -> 2
mzwd -> 4
brjm -> 6
vgjl -> 9
mhnm -> 4
plrf -> 2
bwft -> 8
wqtp -> 17
jljf -> 23
lggn -> 239
fjfw -> 478
fbvz -> 2
gfdv -> 239
tpwn -> 2
hfcm -> 478
gjfq -> 4
rmhh -> 2
wzhh -> 8
wffw -> 10
jdtz -> 15
lvlf -> 25
hcdp -> 33
crvt -> 445
qwmz -> 5
ssjl -> 89
rvzs -> 2
jgrz -> 178
njsw -> 356
rjbv -> 5
fjcv -> 8
jcnz -> 13
dbqc -> 4628
mrld -> 2
ssrj -> 2314
pmhn -> 4
ssjp -> 5
ggtg -> 4
pggq -> 20
lfvc -> 1
bpqd -> 21
lvrl -> 3
cgwq -> 7
drsf -> 28
vhrm -> 2
hdzg -> 5
srwm -> 7
smbs -> 21
pctr -> 5
hnlq -> 5
hnmn -> 2
grmz -> 10
crtb -> 50
tbfs -> 71
rbsz -> 5
rmqp -> 4
wzqb -> 20
bbvt -> 4
jcwp -> 80
pwtl -> 151
clgn -> 3
tbbb -> 453
gtqf -> 2767
wznp -> 22136
bdtw -> 29683
rdtb -> 3
svzn -> 89049
vhsv -> 2137176
srtq -> 3436273391832
qfzt -> 3872582054047
slrn -> 2
cntm -> 2
qfgd -> 1
rsnp -> 2
zvfg -> 3
wqsh -> 6
qdpg -> 7
hgfq -> 2
chcb -> 4
rplq -> 8
bmrb -> 7
vnqh -> 15
pgcv -> 22
pfch -> 2
sglf -> 11
qdsb -> 1
swdq -> 2
frbm -> 4
ptcv -> 7
cbbh -> 11
ccvc -> 22
mpqp -> 23
plcq -> 253
tngw -> 506
pwsp -> 5
fmvg -> 5
ngns -> 10
svvq -> 50
cslt -> 55
mspg -> 8
gdmw -> 47
pnnv -> 4
mctt -> 188
tjzm -> 3
hbfc -> 2
gjpr -> 18
wbzj -> 1
hszf -> 19
fcbb -> 38
tcwj -> 114
gchj -> 302
bdww -> 2
gtsh -> 151
sddm -> 355
ssvw -> 11
rlmv -> 2
vrqd -> 5
rqrg -> 7
nzld -> 2
npsl -> 14
crqc -> 25
mttn -> 2
fjzm -> 50
ltdp -> 9
rwgr -> 59
smnn -> 5
hcts -> 295
blhf -> 15
glmn -> 6
qdzq -> 21
mpzr -> 316
mtpg -> 2
dbqq -> 2
cdwc -> 9
tnmb -> 18
tvlf -> 5
smfr -> 2
vzzv -> 5
jbmc -> 10
cbnt -> 50
cltf -> 2
qjgj -> 8
dgsv -> 2
sbpg -> 1
ldcr -> 7
ltzr -> 8
gtgs -> 3
nwlj -> 3
htvr -> 6
fbzf -> 48
mvmv -> 3
sbrg -> 16
qwjs -> 32
rgld -> 4
sdgq -> 28
qtqb -> 2
tllq -> 56
thgt -> 4
gtds -> 14
gljn -> 112
nfqr -> 7
qqsz -> 2
zgpz -> 6
zlch -> 3
glcq -> 11
blwg -> 2
wqmd -> 13
tfzg -> 39
dpwf -> 234
tfcl -> 10
vqjg -> 4
wvst -> 7
ldtg -> 5
htzp -> 35
fzgm -> 18
fnhz -> 53
wzmz -> 212
zhst -> 4
rvrd -> 53
rzvg -> 4
tsmp -> 57
rwlw -> 5
httj -> 285
sgvf -> 5
nnvm -> 7
ljmw -> 10
plpb -> 17
csfn -> 22
vfhj -> 2
swtn -> 44
rtmq -> 2
wpvh -> 5
vtfr -> 10
gddv -> 7
fbvw -> 17
phbc -> 61
qpbj -> 12
btnj -> 73
hhpq -> 2
rswt -> 4
pmhg -> 8
dqlg -> 2
rndw -> 16
dlrc -> 5
crfl -> 7
fzdd -> 4
jtvz -> 11
djzf -> 55
zttd -> 13
grpg -> 3
pcsb -> 39
ftnr -> 94
zmlz -> 2
sjzt -> 47
tlqc -> 2
qvtj -> 94
thcd -> 2
qnzm -> 188
vszs -> 3008
glrv -> 2
hzbt -> 4
hmjc -> 8
bmcp -> 376
fpsl -> 449
vlgs -> 14
grvz -> 14
dpct -> 4
rtbd -> 18
mfmr -> 252
cwcn -> 2
fnnl -> 3
bjbp -> 9
lglf -> 12
pfsw -> 5
hdcn -> 2
hvdw -> 16
nczt -> 3
glzm -> 19
bnbp -> 38
czzn -> 43
mdpz -> 2
qtnd -> 41
pmfp -> 53
llzh -> 3
pjss -> 2
mgws -> 6
zwrl -> 1
rdws -> 7
njrj -> 3
nlnq -> 21
nsjs -> 74
tvff -> 2
gjjq -> 37
jfrw -> 74
cjsg -> 326
zgss -> 2
bjbf -> 163
wbcq -> 4
hjfv -> 4
zgwz -> 7
wqwc -> 28
bcrh -> 112
fnvh -> 275
jpsp -> 2
ddhr -> 2
lntg -> 2
vwmb -> 6
cmwf -> 12
csqh -> 3
gjhp -> 2
vwdq -> 5
zzhn -> 10
qpgn -> 30
vvcm -> 6
bcvp -> 7
hsrz -> 13
gnvc -> 43
mrqq -> 2
qscr -> 86
dmzl -> 2
qpzm -> 43
dhbj -> 2
fbbq -> 4
fsts -> 8
vwfs -> 15
dsps -> 23
vblf -> 2
bmcm -> 46
rcfw -> 2
qtvn -> 23
srgn -> 1
brjd -> 2
pzvh -> 3
sgqm -> 6
hvmf -> 7
stdg -> 30
pmnq -> 3
pqcf -> 33
mlzh -> 76
mcpd -> 15
gmhq -> 61
rpql -> 2
jvqm -> 4
mrrb -> 3
rsvj -> 7
tnph -> 14
fmpf -> 47
nvnz -> 59
fbbw -> 118
hdth -> 11
zrlw -> 19
wbtw -> 209
ftnz -> 12
qchc -> 1
zsgv -> 2
ldzv -> 3
lfgf -> 6
hblg -> 7
czpt -> 5
ghfj -> 2
tjqf -> 7
jqjz -> 2
fjqb -> 14
wjzt -> 21
jqcr -> 252
mlgt -> 461
dfrc -> 7
rvgw -> 3227
qvdf -> 2
wzcn -> 5
nmfr -> 7
hrgw -> 461
gcwq -> 579
jgvw -> 3
mtln -> 3
cgpb -> 3
qfrq -> 9
qgvw -> 7
tqcl -> 16
wmjt -> 4
rvmg -> 3
nhmg -> 12
tdnf -> 7
zqms -> 1
cwzm -> 6
htmc -> 72
dgjq -> 8
qqvq -> 9
qwpj -> 10
tqqs -> 19
qbzl -> 4
vblj -> 15
bhzh -> 31
qttf -> 3
pvsf -> 2
cbdd -> 6
tthj -> 1
pdsp -> 7
pljh -> 6
nztf -> 13
zrwm -> 403
ldmt -> 2
sfpn -> 2
lptf -> 10
sqlv -> 3
rbjz -> 13
rdtn -> 26
crpg -> 2
gcvm -> 52
hmtj -> 1
bwvs -> 53
bgnn -> 3
vdwv -> 159
hqzf -> 318
qwhm -> 2
ggql -> 14
dcqn -> 2
bdgv -> 28
vtcg -> 5
crvs -> 3
vjhq -> 4
dqnf -> 7
smwd -> 2
rhdt -> 14
mgvv -> 19
pngh -> 3
ztjw -> 8
vdql -> 24
wmdn -> 43
lbgt -> 2
hmcr -> 41
pdjf -> 69
bvll -> 138
mvjq -> 7
sgnv -> 4
nsll -> 11
qqww -> 2
jplp -> 9
wbwv -> 3
mflt -> 6
vzsj -> 23
zjnt -> 20
fwfl -> 460
qbnc -> 778
humn -> +0
jdtm -> 2
lzjw -> 4
cgzj -> 6
ztsw -> 2
vqpt -> 3
cncz -> 11
bqnr -> 33
ddth -> 6
gzmd -> 5
vdrb -> 30
dwmr -> 63
cbgr -> 65
qngc -> 71
lwdr -> 15
fpwf -> 86
qddv -> +0,+86
nrjd -> 5
zfsz -> 8
plmm -> 40
mzhs -> +0,+86,*40
cfcn -> 3
jjqv -> 8
grvf -> 11
fsmc -> 5
lwbw -> 3
lqtt -> 15
rhlm -> 19
hppm -> 7
qnlg -> 26
vcvh -> 41
rflj -> 5
mwmv -> 1
tjhb -> 6
rvtp -> 47
bzpg -> 517
vcqz -> +0,+86,*40,-517
gdnh -> +0,+86,*40,-517,+778
vzwv -> +0,+86,*40,-517,+778,+403
bfjc -> 4
rfmm -> +0,+86,*40,-517,+778,+403,/4
swrr -> 3
nsfj -> 2
sdmj -> 13
gmqq -> 26
sgqw -> 29
vwml -> 13
pnfl -> 377
djzl -> 2
tjfn -> 754
bjbz -> 3
czlq -> 8
zsgr -> 17
hmzq -> 3
srtn -> 51
fsff -> 59
frlr -> 2
tvrm -> 61
pwgh -> 183
zfnl -> 937
zrzq -> +0,+86,*40,-517,+778,+403,/4,-937
gnsq -> +0,+86,*40,-517,+778,+403,/4,-937,*3
pcwh -> 5
lhjt -> 2
zmdj -> 10
wmjr -> 1
zzlh -> 11
qhzv -> 11
ggfp -> 2
tghl -> 2
zlnr -> 3
bgzm -> 6
hpdz -> 12
lpzm -> 23
lntf -> 4
slfr -> 2
mlnh -> 8
hjnl -> 31
lljj -> 2
jpgm -> 62
ldzd -> 4
pgjn -> 3
gjjz -> 7
hzsl -> 3
dzfg -> 21
wnzn -> 3
wfmp -> 63
djlt -> 5
tzrh -> 2
lrlb -> 10
bsdb -> 73
gbqm -> 11
vbbm -> 2
rvrm -> 5
vczz -> 10
tvzr -> 21
rmdn -> 52
nbrq -> 2
tfcv -> 54
gqrt -> 116
qzqh -> 1276
gnbg -> 2
wqfq -> 638
cmnl -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638
flfv -> 5
gvnb -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5
twng -> 4
tpfd -> 3
hprb -> 7
zllz -> 3
bczt -> 21
wrrj -> 2
qgrd -> 5
wvsq -> 7
tnzd -> 10
tzws -> 17
qsls -> 16
rrcn -> 4
gslm -> 5
cnqf -> 20
tptp -> 36
wbql -> 53
jpqm -> 74
rrcq -> 10
wzdv -> 740
plgl -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740
mtdl -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579
vrrt -> 2
jttb -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2
jnll -> 11
tjrz -> 3
dwhw -> 5
hlmd -> 15
ghhs -> 26
vjjj -> 2
shsh -> 13
mcjb -> 3
bnfv -> 39
jdpr -> 7
cvrn -> 1
cvff -> 6
htjj -> 3
jmlm -> 9
gmtm -> 2
nvmr -> 7
pmfg -> 14
ptjd -> 23
lctz -> 69
bgbf -> 414
dtmh -> 2
phwn -> 4
hssd -> 8
gqqs -> 3
pmzn -> 11
tbql -> 5
qsjj -> 55
qjgz -> 359
pjmd -> 2
gqnt -> 718
brsg -> 757
qzzc -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757
vqrf -> 4
fzvn -> 2
hwrd -> 8
zddg -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8
wdww -> 10
zvlt -> 5
rrmt -> 50
bvqh -> 15
nmvc -> 750
szzz -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750
cnfv -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2
dmgm -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275
thch -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449
pgff -> 3
lcql -> 2
cnbs -> 6
mmnh -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6
wsmt -> 4
spfn -> 2
rwjb -> 7
gsww -> 9
dwbb -> 13
srjm -> 12
qqhn -> 25
vnwz -> 4
cdzs -> 100
gqdh -> 3
zwwz -> 10
tjqh -> 30
qqvv -> 70
wlfr -> 19
bvvb -> 89
mhnp -> 3
qfzv -> 3
vdht -> 9
wltj -> 801
fdls -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801
vzmj -> 5
tcdf -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5
dqcv -> 2
zhnv -> 7
bzjl -> 14
dgwd -> 3
pqpc -> 42
jllm -> 4
qcjn -> 2
ggvn -> 15
vhtb -> 30
qlbf -> 34
ztjb -> 10
pdsg -> 3
frsp -> 4
vfsf -> 12
vdqv -> 3
jstp -> 3
pqsb -> 9
jvwm -> 2
tgjt -> 11
zhvm -> 23
zhgb -> 33
vgdl -> 67
ndtl -> 109
zvnl -> 2
wlts -> 218
qwts -> 2
wbwj -> 4
cstd -> 8
hhmw -> 2
wmfz -> 16
bstr -> 5
jfch -> 80
mzpg -> 298
clbc -> 4
rblh -> 302
qvjz -> 2
qdtr -> 604
fjlw -> 5
pllj -> 10
szfm -> 5
bvwq -> 50
dgvm -> 2
pjlc -> 3
gsdb -> 3
wddb -> 9
nzzb -> 2
blwl -> 11
nvrl -> 13
bdvt -> 5
zmpn -> 65
bnnd -> 2
hbfb -> 3
czdr -> 4
bsgh -> 2
lnzl -> 8
qqqm -> 11
pthq -> 22
wjhh -> 3
dwjb -> 19
svvn -> 84
gbmt -> 4
fvzh -> 21
rrvr -> 71
smrt -> 355
qtdv -> 959
hfpg -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959
hgvq -> 16
mrzn -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16
cmms -> 3
pvtp -> 19
bdqv -> 2
frjj -> 38
nzst -> 41
tgmr -> 2
pzrf -> 14
cndq -> 28
qhtf -> 9
pnrq -> 19
fdqz -> 779
ncsd -> 10
ghrq -> 2
jhnh -> 11
qwjf -> 22
bzmg -> 2
ndbg -> 44
hvmj -> 54
nndq -> 19
hfvz -> 3
rvmj -> 57
wbjf -> 111
zdhl -> 890
mdwr -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890
pznp -> 2
wvpt -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2
pqzr -> 13
